gameid,gameeventid,possessioneventid,starttime,endtime,duration,eventtime,sequence,playerid,positiongrouptype,jerseynum,team,x,y,visibility,confidence,possessioneventtype,teamattackingdirection,period,teamname
3813,6495902,6372143,205.405,206.306,0.901,206.306,2,13975,LWB,5,A,13.116,-22.226,ESTIMATED,LOW,PA,R,1,England
3813,6495902,6372143,205.405,206.306,0.901,206.306,2,457,RW,7,A,1.375,10.973,VISIBLE,HIGH,PA,R,1,England
3813,6495902,6372143,205.405,206.306,0.901,206.306,2,13977,RCB,8,A,-8.755,-8.707,VISIBLE,HIGH,PA,R,1,England
3813,6495902,6372143,205.405,206.306,0.901,206.306,2,8561,CF,9,A,-1.861,-4.248,ESTIMATED,LOW,PA,R,1,England
3813,6495902,6372143,205.405,206.306,0.901,206.306,2,13970,MCB,15,A,13.917,-3.168,ESTIMATED,LOW,PA,R,1,England
3813,6495902,6372143,205.405,206.306,0.901,206.306,2,12235,CM,18,A,1.17,-12.869,VISIBLE,HIGH,PA,R,1,England
3813,6495902,6372143,205.405,206.306,0.901,206.306,2,12222,LCB,19,A,14.281,-11.815,ESTIMATED,LOW,PA,R,1,England
3813,6495902,6372143,205.405,206.306,0.901,206.306,2,13982,CM,21,A,4.851,0.727,VISIBLE,HIGH,PA,R,1,England
3813,6495903,6372144,209.109,209.109,0.000,209.109,2,169,GK,1,H,-34.603,1.341,ESTIMATED,LOW,PA,R,1,England
3813,6495903,6372144,209.109,209.109,0.000,209.109,2,123,LB,3,H,-0.694,30.541,VISIBLE,HIGH,PA,R,1,England
3813,6495903,6372144,209.109,209.109,0.000,209.109,2,265,CM,4,H,-9.144,9.421,VISIBLE,HIGH,PA,R,1,England
3813,6495903,6372144,209.109,209.109,0.000,209.109,2,10,RCB,5,H,-11.196,-5.526,VISIBLE,HIGH,PA,R,1,England
3813,6495903,6372144,209.109,209.109,0.000,209.109,2,118,LCB,6,H,-15.998,10.367,VISIBLE,HIGH,PA,R,1,England
3813,6495903,6372144,209.109,209.109,0.000,209.109,2,1,CF,9,H,15.294,-2.128,ESTIMATED,LOW,PA,R,1,England
3813,6495903,6372144,209.109,209.109,0.000,209.109,2,25,LW,10,H,14.245,24.727,ESTIMATED,LOW,PA,R,1,England
3813,6495903,6372144,209.109,209.109,0.000,209.109,2,1377,RB,12,H,5.178,-27.111,VISIBLE,HIGH,PA,R,1,England
3813,6495903,6372144,209.109,209.109,0.000,209.109,2,163,RW,17,H,15.319,-20.709,ESTIMATED,LOW,PA,R,1,England
3813,6495903,6372144,209.109,209.109,0.000,209.109,2,105,AM,19,H,8.896,15.114,VISIBLE,HIGH,PA,R,1,England
3813,6495903,6372144,209.109,209.109,0.000,209.109,2,4677,CM,22,H,-5.632,-17.197,VISIBLE,MEDIUM,PA,R,1,England
3813,6495903,6372144,209.109,209.109,0.000,209.109,2,13968,GK,1,A,38.068,0.533,ESTIMATED,LOW,PA,R,1,England
3813,6495903,6372144,209.109,209.109,0.000,209.109,2,13976,RWB,2,A,15.301,22.936,ESTIMATED,LOW,PA,R,1,England
3813,6495903,6372144,209.109,209.109,0.000,209.109,2,13971,LW,3,A,-4.168,-10.895,VISIBLE,HIGH,PA,R,1,England
3813,6495903,6372144,209.109,209.109,0.000,209.109,2,13975,LWB,5,A,16.099,-15.546,ESTIMATED,LOW,PA,R,1,England
3813,6495903,6372144,209.109,209.109,0.000,209.109,2,457,RW,7,A,3.992,17.123,VISIBLE,HIGH,PA,R,1,England
3813,6495903,6372144,209.109,209.109,0.000,209.109,2,13977,RCB,8,A,-7.747,5.492,VISIBLE,HIGH,PA,R,1,England
3813,6495903,6372144,209.109,209.109,0.000,209.109,2,8561,CF,9,A,0.029,1.955,ESTIMATED,LOW,PA,R,1,England
3813,6495903,6372144,209.109,209.109,0.000,209.109,2,13970,MCB,15,A,16.428,4.139,ESTIMATED,LOW,PA,R,1,England
3813,6495903,6372144,209.109,209.109,0.000,209.109,2,12235,CM,18,A,4.958,-3.945,VISIBLE,HIGH,PA,R,1,England
3813,6495903,6372144,209.109,209.109,0.000,209.109,2,12222,LCB,19,A,16.555,-4.632,ESTIMATED,LOW,PA,R,1,England
3813,6495903,6372144,209.109,209.109,0.000,209.109,2,13982,CM,21,A,8.202,11.023,VISIBLE,HIGH,PA,R,1,England
3813,6495905,6372146,210.611,211.879,1.268,211.879,2,169,GK,1,H,-33.582,2.782,ESTIMATED,LOW,PA,R,1,England
3813,6495905,6372146,210.611,211.879,1.268,211.879,2,123,LB,3,H,0.515,31.117,VISIBLE,HIGH,PA,R,1,England
3813,6495905,6372146,210.611,211.879,1.268,211.879,2,265,CM,4,H,-4.029,17.873,VISIBLE,HIGH,PA,R,1,England
